Event ,Zone,Region,Category,Start Date,End Date,Fatalities,Injured,Insured Cost,URL,Description,Source(s),
Bushfire,,,,,,,,,,,,
Bushfire - Black Thursday Victoria,Victoria,Melbourne,Bushfire,06/02/1851,07/02/1851,12,N/A,Not Available,https://knowledge.aidr.org.au/resources/bushfire-black-thursday-victoria-1851/,"The Victorian bushfire known as 'Black Thursday' occurred on 6 February 1851, though fires had been burning for some weeks, At 11am in Melbourne the temperature was 47C in the shade with a hot wind blowing from the NNW. 
Fires raged out of control from Barwon Heads, Victoria, to Mount Gambier, South Australia, while the smoke haze spread as far as Tasmania. Approximately 12 people died and 5 million hectares – approximately a quarter of the state of Victoria - was burnt. 
Losses included one million sheep and thousands of cattle with many properties and communities destroyed. The fire affected the Wimmera, Portland, Gippsland, Plenty Ranges, Westernport, Dandenong and Heidelberg with extensive damage in Victoria’s Port Phillip district.","Australian Bureau of Statistics, Year book Australia 2004 - Past major bushfires, website viewed 21 December 2011

Council of Australian Government, National bushfire inquiry appendix D fire history in Australia, 2 April 2004, website viewed 21 December 2011
Fraser B, Macquarie book of events. 1st edn. Netley, South Australia: Macquarie Library Pty. Ltd. 1984, p 580
Illustrated Australian News, ‘Black Thursday’, 25 June 1887, viewed on Trove website (ID 59980370) 21 December 2011 ",
Bushfire - Red Tuesday,Victoria,Melbourne,Bushfire,01/02/1898,02/02/1898,12,N/A,Not Available,https://knowledge.aidr.org.au/resources/bushfire-red-tuesday-victoria-1898/,"Red Tuesday occurred on 1 February 1898 when in the southern Gippsland area of Victoria 260,000 ha were burnt, 12 people were killed and 2000 buildings were destroyed. The fires affected the Cranbourne, Traralgon, Neerim South and Poowong areas.","ABS, COAG, The Western Australian paper",
Black Summer - New South Wales,New South Wales,New South Wales,Bushfire,7/1/19,3/31/20,26,N/A,"$1,880,000,000",https://knowledge.aidr.org.au/resources/black-summer-bushfires-nsw-2019-20/,"The 2019–20 bushfire season was the worst New South Wales (NSW) has recorded. Higher than average temperatures and low moisture levels in bushfire fuels following several years of drought enabled devastating fires to burn across much of the state, with intense bushfire weather conditions continuing through most of the fire season. Over the course of a few months, 26 lives were lost, 2,448 homes were destroyed and 5.5 million hectares (ha) of land was burnt. The impact on NSW communities, farmers, local businesses, wildlife and bushland was unprecedented.

The length and intensity of the bushfire season and the scale of the fires challenged the NSW Rural Fire Service (RFS) and other NSW agencies like never before. On 8 November for example, there were an unprecedented 17 fires for which emergency warnings – the highest alert level – had been issued. Due to the unusually dry conditions, fire behaviour was more erratic and less predictable than in previous experience, often meaning that well-tested firefighting techniques were not always as effective as in the past. Such challenges were compounded by worsening drought conditions and an unprecedented number of fire initiated thunderstorms.

From 1 July 2019 to the end of the bushfire season on 31 March 2020, there were more than 11,400 bush and grass fires across NSW. The fires burnt 6.2 per cent of the state – the largest burnt area recorded in a single fire season in eastern Australia.

Tragically, the season also resulted in the loss of several lives, including 20 civilians: three in October, five in November, four in December and eight in January. Six firefighters also died, including two RFS volunteers killed on 19 December when their fire tanker rolled down an embankment, one RFS volunteer who sustained fatal injuries in a freak weather event on 30 December, and three American citizens who were killed when their plane crashed during water-bombing operations on 23 January in the Snowy Monaro area.

Building impact assessments were conducted on 81 fires between 11 August 2019 and 1 March 2020. Assessments were completed on foot and by drone, helicopter, boat and trail bike by more than 70 RFS staff and 15 volunteers, assisted by numerous other agency personnel.

As well as burning down 2,448 homes, the fires destroyed 284 facilities and 5,469 outbuildings, and damaged 1,013 other homes, 194 facilities and 2,042 outbuildings, with the majority of property losses occurring in southern NSW. In areas assessed by the RFS, an estimated 14,519 homes, 1,486 facilities and 14,016 outbuildings were saved by firefighting protective measures.

Losses experienced by the agricultural community were also grave, with thousands of farms affected by significant losses of livestock, placing further strain on a sector already suffering wide-spread effects of drought.

More than three billion animals, more than one billion of them in NSW, were estimated to have been killed or displaced in the fires, including some rare or threatened animal, plant and insect species, with the complete loss of some species believed to be permanent.

The RFS was supported in its firefighting efforts by personnel from Fire and Rescue NSW, the National Parks and Wildlife Service, the Forestry Corporation of NSW, the State Emergency Service and the NSW Police Force. In addition, 5,728 interstate and overseas fire and emergency service personnel were deployed. Many other government and non-government agencies also supported the effort in many ways.

On 8 November and following multiple bushfires across eastern and south-eastern Australia, the Insurance Council of Australia (ICA) declared the fires a catastrophe, enabling related insurance claims to be processed more rapidly. On 28 May 2020, the ICA advised that insurance claims from the bushfires in 2019–20 across NSW, Queensland, Victoria (VIC) and South Australia numbered 38,181, with estimated losses of $2.32 billion. NSW accounted for 81 per cent of these losses, or $1.88 billion.

A wide range of disaster assistance payments and allowances were made available through joint Commonwealth-State arrangements to assist individuals, primary producers, businesses, non-profit organisations and local governments that had been impacted by the bushfires.

Due to the ongoing and significant impact of the fires, on 6 January 2020 the Australian Government committed $2 billion to the National Bushfire Recovery Fund to provide further assistance to individuals and communities impacted by the fires, bringing total government assistance available to almost $2.65 billion.

On 20 February 2020 the Royal Commission into National Natural Disaster Arrangements was established.",This incident was included in the Major Incidents Report 2019-20 (AIDR 2020). See the report for further information on the incident. The report acknowledges the following sources: New South Wales Rural Fire Service; Bureau of Meteorology; Insurance Council of Australia.,
Black Summer - Queensland,Queensland,Queensland,Bushfire,9/1/19,12/31/19,N/A,N/A,"$70,000,000",https://knowledge.aidr.org.au/resources/black-summer-bushfires-qld-2019/,"In coastal areas of south-east Queensland (QLD), September is historically the month with the year’s highest bushfire danger. In early September 2019, the fire danger was higher than anything previously experienced in the region at that time of year. Rainfall from January to August 2019 had been very much below average or the driest on record, and mean maximum temperatures were very much warmer than average.

On 6 September, strong west to north-westerly winds produced extreme to catastrophic bushfire conditions in much of southeast QLD. By the following day, significant bushfires were burning at Stanthorpe, Applethorpe, Beechmont, Springbrook, Witheren, Numinbah Valley and Sarabah and by the afternoon of 8 September, there were more than 60 fires burning across the state.

The fires forced the closure of ten schools, many in the southeast’s Granite Belt. People in several threatened Granite Belt towns were urged to evacuate, and prisoners and staff were evacuated from the women’s correctional centre in the Numinbah Valley when it was threatened by fire. Despite hundreds of firefighters and several firefighting aircraft being deployed, several homes and other structures were destroyed in the extreme conditions, including the historic Binna Burra Lodge in the Gold Coast hinterland.

The most significant September fires, in the Sarabah/Scenic Rim area, the Stanthorpe area and Peregian Springs resulted in the burning of some 8,000 hectares (ha) of land, 17 homes and five commercial structures. The Peregian fire, which broke out on 9 September, required more than 100 fire crews to bring it under control.

On 17 September, lightning started a fire on North Stradbroke Island. Firefighters assisted by several water-bombing aircraft contained the fire, which burnt more than 2,000 ha.

On 8 October, a severe and fast-moving fire destroyed a house at Thornton and threatened the nearby township of Laidley, west of Brisbane. A large, unpredictable fire also threatened the nearby community of Grandchester but was contained by fire crews by 7.00pm that evening. Other fires burning north of Dalby, at Mount Sylvia, Mount Morgan and Childers, were all under control by the following day.

Due to deteriorating bushfire conditions and fires threatening homes across the state, on 9 November a state of fire emergency was declared in 42 of QLDs local government areas. Two days later, a fire started in the Ravensbourne area near Toowoomba and burnt over 20,000 ha of bush over several days and destroyed four homes.

On 9 November, 15 homes were lost at Cobraball during severe ember attacks, and more than 6,000 ha of bush and farmland was burned. Many residents spent the night in an evacuation centre in nearby Yeppoon. Meanwhile on the Sunshine Coast, a bushfire at Cooroibah near Noosa caused the evacuation of 6,000 residents. Only one home was lost in the fire.

On 13 November, a water-bombing helicopter crashed while fighting a fire threatening the small community of Pechey near Toowoomba. While the Bell 214 helicopter was completely destroyed, the pilot walked away with only minor injuries.

By 23 November, fire conditions had eased and the state of fire emergency was revoked.

On 7 December, a house fire broke out in Bundamba and spread to nearby bushland that afternoon. On the following day and in worsening conditions, the fire threatened homes in the local community and destroyed a shipping container filled with fireworks. Residents within a three-square-kilometre exclusion zone were ordered to evacuate and one home was destroyed.

In mid-December, Peregian Springs and surrounding areas on the Sunshine Coast came under threat for the second time in a couple of months. About 100 firefighters and five waterbombing aircraft worked on the fire. Although 60 homes were evacuated, none were lost.

The bushfire season officially ended on 31 January 2020. More than 35,000 Queensland Fire and Emergency Services (QFES) personnel had fought the fires, which burned an estimated 6.6 million ha and destroyed 49 houses, 68 sheds and five commercial buildings. QFES used 72 aircraft flying more than 6,557 hours to fight the fires, about double the hours flown in the busy 2018–19 fire season.

By 7 September, very early in the bushfire season, the Insurance Council of Australia (ICA) had declared the QLD bushfires a catastrophe, enabling insurance claims from affected policyholders in several parts of the state to be expediated. Following more widespread outbreaks, on 13 November the areas covered were extended. The ICA’s estimated insurance loss for the 2019–20 Australian bushfire season as of 28 May 2020 was AU$2.32 billion, of which QLD represented 3 per cent.

Joint Commonwealth–State disaster recovery funding was made available for a wide range of measures in 23 local government areas across QLD that had been impacted by bushfires between 1 September and 31 December 2019.",This incident was included in the Major Incidents Report 2019-20 (AIDR 2020). See the report for further information on the incident. The report acknowledges the following sources: Queensland Fire and Emergency Services; Office of the Inspector-General Emergency Management; Bureau of Meteorology; ABC News; Nine News.,
Black Summer - Victoria,Victoria,Victoria,Bushfire,11/1/19,2/29/20,5,N/A,"$18,600,000",https://knowledge.aidr.org.au/resources/black-summer-bushfires-vic-2019-20/,"Between 18 and 21 November 2019, many high temperature records were set across southern Australia and followed very much warmer than average and drier than average conditions through most of the year. Victoria’s (VIC) bushfire season started in earnest on 21 November when a total fire ban was declared for the entire state and code red (catastrophic) fire danger conditions were forecast for the state’s west. In Northern Country and the Mallee, 221 schools and early learning centres were closed as a precaution. Elsewhere, several national parks and state forests were also closed, before lightning ignited a series of fires in East Gippsland, initially endangering the communities of Buchan, Buchan South and Sunny Point.

Storm activity increased during the day, with the VIC State Emergency Service (SES) receiving 2,042 requests for assistance, primarily for fallen trees and building damage. The storms also caused power outages, with a peak of approximately 130,000 households without power.

One hundred and fifty fires started in Victoria that day, burning 326,000 hectares (ha). By day’s end, around 60 fires remained active, including a large fire in the state’s north near Shepparton, three large fires in East Gippsland, and a fastmoving grass fire at Mount Glasgow, north of Ballarat. By 25 November, two of the East Gippsland fires, near Bruthen and Gelantipy, had grown to 1,750 ha and 600 ha respectively, while in the north-east of the state, a 300 ha fire was burning in the Mount Bogong area.

On 20 December, another total fire ban was declared for Victoria and a new December maximum temperature record of 47.9C was set at Hopetoun and Horsham. One hundred and ten new fires broke out that day; a fire near Marthavale grew rapidly, endangering the communities of Tambo Crossing, Ensay and others. The Great Alpine Road was closed between Ensay and Bruthen and by next morning, the fire had caused power and mobile phone outages north of Ensay and from Bruthen to Omeo. Over the following days, several smaller fires began to combine, creating large fires that threatened several communities and critical infrastructure.

Due to predictions of worsening fire conditions, VIC authorities broadcast warnings to residents and visitors to leave high risk areas in a 15,000 square kilometre area stretching from Bairnsdale to Cann River and the New South Wales (NSW) border. More than 60,000 people are estimated to have evacuated the East Gippsland and Hume regions as a result.

On 30 December, another state-wide total fire ban was declared as multiple new fires started from dry lightning in the Grampians, Hume and Gippsland regions. Three fires in East Gippsland with a combined area of more than 130,000 ha remained active; some fires burned with sufficient intensity to create pyrocumulonimbus clouds that generated local thunder and lightning. The road network was significantly impacted by these fires and access was cut to a number of communities, sometimes for several days. A Forest Fire Management Victoria (FFMV) contractor died in a vehicle rollover.

Early in the morning on New Year’s Eve, the Banana Track fire reached the coastal town of Mallacoota in the state’s far east. Several thousand people were isolated in the town and more than 60 homes were destroyed. Escape routes were cut off and an estimated 4,000 people gathered on the town’s foreshore, protected by the local Country Fire Authority (CFA) brigade, three CFA strike teams, FFMV firefighters and VIC Police personnel.

Seven emergency warnings were in place across East Gippsland for more than 80 communities that day. A fire approached the coastal town of Lakes Entrance and an emergency warning was issued for an estimated 30,000 residents and holidaymakers there and in surrounding areas. Many people heeded the warnings and evacuated.

For December, record warmth across Australia had been accompanied by record low rainfall over eastern Australia. The monthly accumulated forest fire danger index (FFDI) for December was the highest on record over most of the country, and for Australia as a whole, December FFDI was the highest on record for any month. On 30 and 31 December, FFDI values were highest on record for December over areas of south-eastern Australia, including regions of significant fire activity in East Gippsland. By the end of December, fires had burnt 400,000 ha across the state, more than 230,000 ha in East Gippsland, and many communities remained isolated, without power or telecommunications.

On 1 January 2020 there were unconfirmed reports of property and infrastructure losses in several communities, including Mallacoota, Genoa, Reedy Flat, Buchan, Bruthen, Sarsfield, and Gelantipy. The Princes Highway east of Bairnsdale was closed in several places, isolating many communities.

On the evening of 2 January with an estimated 50 fires still burning in the state, the VIC Premier declared a state of disaster for the shires of East Gippsland, Mansfield, Wangaratta Rural, Wellington, Towong and Alpine, and the alpine resorts of Mount Buller, Mount Hotham, Falls Creek and Mount Stirling. People were again warned to leave high risk areas ahead of predicted worsening conditions.

On 3 January, fourteen emergency warnings were issued in fire-affected areas and nearly 2,000 people were evacuated from Mallacoota by air and sea, part of the largest-ever maritime evacuation of Australian citizens following a natural disaster. Evacuations were carried out by the Australian Defence Force (ADF) supported by international defence partners and other agencies. Forty-one firefighters from the United States arrived to support firefighting operations, and a FFMV firefighter died in a two-vehicle collision.

The following day, 66 more emergency warnings were issued as community relief centres continued to operate in Bairnsdale, Sale, Morwell, Wangaratta, Corryong, Tallangatta and Wodonga.

On 9 January, 220,000 emergency alert SMS messages were sent to people in East Gippsland and the state’s north-east encouraging them to move to safer locations. On 10 January, a further 28 emergency warnings were issued. The following day, a FFMV firefighter was killed by a falling tree.

Despite milder conditions, on 13 January two emergency warnings were issued, one for a fire about eight kilometres east of Abbeyard and the other for a fire in East Gippsland affecting Tamboon, Tamboon South and Furnel. On 14 January, VIC recorded the worst air quality in the world as smoke from the East Gippsland fires spread and authorities warned vulnerable groups to stay indoors.

In mid-January, a multi-agency roads access taskforce consisting of fire agencies, ADF and Department of Transport representatives was established to coordinate efforts to reopen roads to isolated communities and enable power and telecommunications to be restored.

Operations to return residents to Mallacoota commenced on 19 January, with eight air missions flown that day. By the time widespread rain fell in VIC on 20 and 22 January, bushfires had burnt more than 1.5 million ha, mainly in the state’s east and north-east. While the rain, humidity and cooler temperatures brought welcome relief to firefighters, fire affected catchments in East Gippsland and the north-east were put on flood watch. Firefighters were withdrawn from some areas due to fears strong winds and flash flooding could topple trees, create landslides and block roads in areas damaged by fire. Fire-affected areas in Gippsland received between 20 millimetres (mm) and 60 mm of rain, and up to 40 mm was recorded in the state’s north-east.

On 30 and 31 January, with several uncontrolled bushfires still burning, further hot weather again brought high fire danger. An emergency warning was issued for Bendoc and nearby communities on 30 January.

On 4 February, the Princes Highway was re-opened from Orbost to the NSW border, although with reduced speed limits in some areas. The Mallacoota-Genoa Road was re-opened and Mallacoota reconnected to the main power grid on 8 February.

By mid-February, the Snowy Complex fire in the far east of the state was the only major fire still burning. That fire, which had burned 663,000 ha, was declared contained on 27 February.

The 2019–20 VIC bushfires caused the loss of five lives and destroyed more than 300 homes and 6,632 head of stock. The fires burned more than 1.5 million ha of public and private land, including 1.39 million ha of forests and parks, plantations and native timber assets, critical animal habitats and water catchments.

A preliminary evaluation of the health burden of the VIC bushfires estimated that bushfire smoke was associated with 120 excess deaths, 331 hospitalisations for cardiovascular problems, 585 hospitalisations for respiratory problems and 401 emergency department presentations for asthma.

A range of joint Australian and VIC government disaster relief measures and payments were made available in 18 VIC local government areas affected by the bushfires, commencing from 21 November 2019.

As of 28 May 2020, the Insurance Council of Australia estimated that the VIC bushfires generated approximately 3,050 insurance claims with estimated insured losses of approximately $18.6 million.",This incident was included in the Major Incidents Report 2019-20 (AIDR 2020). See the report for further information on the incident. The report acknowledges the following sources: Emergency Management Victoria; Country Fire Authority; Forest Fire Management Victoria; Bureau of Meteorology; The Age.,
Black Summer - South Australia,South Australia,South Australia,Bushfire,11/1/19,2/29/20,4,N/A,"$186,000,000",https://knowledge.aidr.org.au/resources/black-summer-bushfires-sa-2019-20/,"On 24 October 2019, strong northerly winds combined with existing dry conditions and high temperatures to create dangerous bushfire weather in South Australia (SA). Several fires broke out across the state, including one at Wongulla in the Murraylands where several firefighters were injured.

Catastrophic fire conditions were forecast across the state for 20 November and the Country Fire Service (CFS) declared a state-wide total fire ban. A fire threatened Yorketown on the Yorke Peninsula that day before a wind change pushed the fire dangerously close to the township of Edithburgh. The fire destroyed seven homes and burned more than 5,000 hectares (ha).

Dangerous fire weather conditions continued from spring into summer. In December, strong winds, low humidity and high temperatures on several days again combined to create dangerous bushfire conditions, including some areas with catastrophic fire danger ratings. Nearly all of SA recorded its highest ever accumulated forest fire danger index for December.

On 20 December, catastrophic fire conditions were forecast as the state sweltered though its fourth day of extreme heat. Temperatures in the west of the state reached 49.9°C, several other sites exceeded 45°C, and Adelaide reached 43.9°C.

More than 200 bushfires burned across the state that day, including a major fire at Cudlee Creek in the Adelaide Hills that spread rapidly, threatening the townships of Mount Pleasant, Springton, Palmer, Cudlee Creek, Mount Torrens, Harrogate, Inglewood, Gumeracha, Lobethal and Woodside. Twenty-seven roadblocks were set up by SA Police to manage traffic entering threatened areas, and a Large Air Tanker from New South Wales (NSW), called in to assist firefighters, was grounded due to high winds.

Over the next few days, the fire burned 23,000 ha before being brought under control. An elderly man died in his home during the fire, and 84 homes were destroyed as well as over 400 outbuildings and 292 vehicles.

More than 40,000 ha were burned by fires that started that day and more than 1,500 firefighters responded; 31 firefighters and two police officers were injured. A 24-year-old man from Queensland (QLD) died in a car crash that started a fire in the Murraylands.

Kangaroo Island also experienced multiple dry lightning strikes on 20 December, sparking fires that took 11 days to contain. Several firefighting aircraft were deployed to assist hundreds of firefighters battling the blazes. The island’s fire crews were still fighting these fires when more lightning strikes caused several more fires that merged to create the Ravine fire complex on 30 December. This fire burned through inaccessible parts of a wilderness park in the north-west of the island before strong northerly winds on 3 January caused the fire to spread to the island’s south coast before a wind shift pushed it east.

The Kangaroo Island fires burned 211,500 ha including one of SA’s most important ecological sites, Flinders Chase National Park, home to the endangered and endemic Kangaroo Island dunnart and the glossy black cockatoo. An estimated 25,000 koalas were killed too, with the habitats of numerous other animals destroyed.

The fires on Kangaroo Island killed two people who were trapped in their car, destroyed 56 homes and damaged hundreds of other buildings including a large eco-tourism facility. Twenty-three firefighters were injured battling the island’s fires, and two CFS fire trucks were damaged.

From 1 November 2019 onwards, the Australian and SA governments made a wide range of disaster recovery funding available for individuals, non-profits and businesses financially impacted by the bushfires. Eleven local government areas were listed as eligible for assistance measures that included personal hardship and distress assistance, personal and financial counselling, counter disaster operations, reconstruction of essential public assets, and concessional interest rate loans for small businesses, primary producers and non-profit organisations.

On 8 November and following multiple bushfires across SA, NSW, QLD and Victoria, the Insurance Council of Australia declared the fires a catastrophe, enabling related insurance claims to be processed more rapidly. As of 28 May 2020, the estimated insured value of the national bushfire catastrophe was $2.32 billion from 38,181 claims. SA accounted for 8 per cent of the losses (approximately $186 million from 3,054 claims).

On 28 January, the SA Premier announced an independent review of the 2019–20 SA bushfire season, with a focus on the Cudlee Creek and Kangaroo Island bushfires. The SA Government also launched the SA Bushfire Appeal to raise funds for people directly affected by the Cudlee Creek and Kangaroo Island bushfires.",This incident was included in the Major Incidents Report 2019-20 (AIDR 2020). See the report for further information on the incident. The report acknowledges the following sources: South Australian Country Fire Service; Bureau of Meteorology; ABC News; The Advertiser.,
"Eastern Victorian bushfires, 2019",Victoria,East Victoria,Bushfire,3/1/19,3/21/19,N/A,N/A,"$36,000,000",https://knowledge.aidr.org.au/resources/2019-bushfire-vic-eastern-victorian-bushfires/,"The summer of 2018–19 was Victoria’s hottest on record, contributing to significant bushfire activity during February and March 2019. Lightning strikes occurred across eastern Victoria overnight on 28 February and 1 March and by 9.00am that morning, 17 fires had ignited. The warm dry weather continued and by 2.00pm on 4 March, more than 290 grass, scrub and bushfires had been reported.

During the first week in March, bushfires threatened communities in the shires of Baw Baw, Cardinia, Latrobe, South Gippsland and Wellington.

A fire in the Bunyip State Park about 65 kilometres east of Melbourne burned more than 15,000 hectares after several smaller fires merged. This fire destroyed 29 homes around Bunyip North, Garfield North and Tonimbuk, as well as 67 outbuildings and sheds. Two more homes were destroyed in the Yinnar South–Budgeree East fire, about 75 kilometres to the south-east.

Other major fires occurred near Licola and Dargo. The Licola fire burned more than 80,000 hectares and the Mt Darling–Cynthia Range Track fire, about 20 kilometres north-west of Dargo, burned more than 28,000 hectares.

Around 2,000 firefighters were deployed to fight the fires, as well as more than 55 aircraft including 2 helicopters with night-time firefighting capability. Seven hundred and fifty personnel from other Australian states and New Zealand supported Victorian firefighters, filling firefighting, incident management, air operations and fire behaviour prediction roles.

On 8 March, those with insured losses were urged to lodge insurance claims as soon as possible after the Insurance Council of Australia declared the Bunyip State Park and Yinnar South–Budgeree East fires a catastrophe to speed up the processing of claims. By mid-April, insured losses for the Bunyip State Park bushfire alone had approached $32 million.

Social media and emergency management applications played an important role in disseminating information during the fires. Between 1 March and 21 March, more than 800 community warnings had been issued, including 62 emergency warnings and four recommendations to evacuate. Over the month of March, there were 1.2 million users of the VicEmergency website.

Smoke from the fires continued to impact parts of Victoria into late March. However, by early April 2019 all of the fires were declared controlled.","This incident was included in the Major Incidents Report 2018-19 (Australian Institute for Disaster Resilience, 2019). See the report for further information on the incident. The report acknowledges the following sources:

Country Fire Authority, Department of Environment, Land, Water and Planning (VIC), Emergency Management Victoria, Bureau of Meteorology, Insurance Council of Australia, ABC News, The Guardian, Herald Sun.",
"Tasmanian bushfires, 2018-19",Tasmania,Tasmania,Bushfire,12/28/18,3/1/19,N/A,N/A,response effort exceeded $60 Mil,https://knowledge.aidr.org.au/resources/black-summer-bushfires-tas-2019-20/,"On Friday 28 December 2018, several bushfires were discovered following lightning in western Tasmania on 27 December, with many being brought under control over following days. However, a fire near the Gell River in the Tasmanian Wilderness World Heritage Area (TWWHA) was unable to be controlled and spread some 40 kilometres to the south-east over the next several weeks.

January 2019 was Tasmania’s warmest and driest on record. On 4 January, many residents evacuated from the township of Maydena and other settlements in the Tyenna Valley when thick smoke from the Gell River fire, 20 kilometres to the north-west, blanketed the area.

Lightning strikes on 15 January ignited some 60 additional fires, mainly in Tasmania’s west and central highlands. Many were controlled or self-extinguished over subsequent days, but several burning in remote and rugged terrain continued to spread. A fire near Riveaux Road in the Huon Valley and another near Great Pine Tier in the central highlands spread rapidly and threatened several small settlements in their path. Geeveston and several other small Huon Valley settlements were threatened for several days in January and February. An evacuation centre opened in Huonville on 24 January for almost two weeks.

Additional firefighters and support personnel from the Australian Capital Territory, New South Wales, Queensland, South Australia, Western Australia and New Zealand (NZ), including many remote area specialist firefighters, and support personnel from Victoria for the base camp, joined fire crews from the Tasmania Fire Service, Parks & Wildlife Service and Sustainable Timber Tasmania to fight the fires.

The fires were eventually brought under control, with the last of the firefighters leaving the Gell River fire in the final week of March 2019. In total, more than 200,000 hectares had burned, representing 2.9 per cent of Tasmania’s land area.

On 30 March, the Premier released the terms of reference for an independent review into the 2018–19 bushfires, with the review expected to be delivered to government in July 2019. By early May, the estimated cost to bring the bushfires under control exceeded $60 million.","This incident was included in the Major Incidents Report 2018-19 (Australian Institute for Disaster Resilience, 2019). See the report for further information on the incident. The report acknowledges the following sources:

Tasmania Fire Service, Fire Centre Research Hub, Department of Premier and Cabinet, Bureau of Meteorology, ABC News, The Examiner.",
"Tathra bushfire, 2018",New South Wales,Tathra,Bushfire,3/18/18,3/21/18,N/A,N/A,"$6,35,16,711",https://knowledge.aidr.org.au/resources/2018-bushfire-nsw-tathra-bushfire/,"On Sunday 18 March 2018, a bushfire swept into the town of Tathra (population 1,622) on the New South Wales south coast. The fire destroyed 65 homes and buildings, damaged a further 39, and destroyed 70 caravans/cabins. No deaths or significant injuries were reported.

The maximum temperature at Bega that day, 14 kilometres to the north-west, was 38.6 degrees Celsius. The maximum wind gust, recorded at 1.37pm, was 76 kilometres per hour from the north-west. Fanned by these strong winds and high temperatures, the fire burned through some 1,250 hectares of bushland. It started at Reedy Swamp and crossed the Bega River, before reaching Tathra on the coast, to the south-east, at about 3.30pm.

Although the New South Wales Rural Fire Service issued warnings, many people did not get a text alert before the fire’s arrival due to poor telephone reception. A mobile phone tower failed during the blaze, further impacting reception.

As the fire reached the town, many residents took refuge on the beach; others headed for an evacuation centre in Bega. Eventually, several hundred Tathra residents gathered at the centre, with some 300 staying overnight on the Sunday. Local Australian Red Cross volunteers helped staff at the centre. At its height, about 150 firefighters battled the blaze, saving an estimated 810 homes threatened by the fire. The fire’s spread slowed late in the afternoon with the arrival of a southerly change. The following day, four local schools were closed due to the number of students and staff affected by the fire.

Following the fire, New South Wales Family and Community Services provided a range of temporary housing support options and other support services, and the Bega Valley Shire Council established a Mayoral Appeal Fund. On 19 March, a recovery coordinator was appointed.

On 29 March, the Australian Government declared the bushfire a disaster, making disaster relief funds available for those affected. The Insurance Council of Australia declared the fire a catastrophe, ensuring claims by those affected were given priority. Insurance claims are expected to exceed $36 million.

Thirty of the homes destroyed in the fire contained asbestos. The New South Wales Government committed up to $10 million to remove asbestos-contaminated material and to help residents clean up their properties, with the clean-up coordinated by New South Wales Public Works.

On 21 March, the state government announced an independent review headed by former Australian Federal Police Commissioner Mick Keelty AO APM, with terms of reference to report on the adequacy of the fire services’ response to the fire, and to review the call-taking and dispatch arrangements of both Fire and Rescue New South Wales and the Rural Fire Service. At the same time, a Coronial Inquest was confirmed to formally establish the cause and origin of the fire. Keelty’s report and the government’s response – which supports all 12 of Keelty’s recommendations – were completed in June 2018.","This incident was included in the Major Incidents Report 2017-18 (Australian Institute for Disaster Resilience, 2018). The report acknowledges the following sources:

ABC News
Bega Valley Fires
Bureau of Meteorology, Monthly Weather Review: March 2018
The Daily Telegraph
The Guardian
New South Wales Department of Justice 2018, Bega Valley Fires Independent Review, June 2018, ('Keelty Report'). At: https://www.emergency.nsw.gov.au/Documents/publications/Bega-Valley-Fire-Independent-Review.PDF
New South Wales Rural Fire Service
The Sydney Morning Herald",
